,Name,Link
0,Virat Kohli,http://cricbuzz.com/profiles/1413/virat-kohli
1,Rohit Sharma,http://cricbuzz.com/profiles/576/rohit-sharma
2,Shikhar Dhawan,http://cricbuzz.com/profiles/1446/shikhar-dhawan
3,Shubman Gill,http://cricbuzz.com/profiles/11808/shubman-gill
4,Shreyas Iyer,http://cricbuzz.com/profiles/9428/shreyas-iyer
5,Manish Pandey,http://cricbuzz.com/profiles/1836/manish-pandey
6,Mayank Agarwal,http://cricbuzz.com/profiles/2195/mayank-agarwal
7,Prithvi Shaw,http://cricbuzz.com/profiles/12094/prithvi-shaw
8,Cheteshwar Pujara,http://cricbuzz.com/profiles/1448/cheteshwar-pujara
9,Ajinkya Rahane,http://cricbuzz.com/profiles/1447/ajinkya-rahane
10,Hardik Pandya,http://cricbuzz.com/profiles/9647/hardik-pandya
11,Hanuma Vihari,http://cricbuzz.com/profiles/8424/hanuma-vihari
12,Ravindra Jadeja,http://cricbuzz.com/profiles/587/ravindra-jadeja
13,Ravichandran Ashwin,http://cricbuzz.com/profiles/1593/ravichandran-ashwin
14,KL Rahul,http://cricbuzz.com/profiles/8733/kl-rahul
15,Sanju Samson,http://cricbuzz.com/profiles/8271/sanju-samson
16,Wriddhiman Saha,http://cricbuzz.com/profiles/1465/wriddhiman-saha
17,Rishabh Pant,http://cricbuzz.com/profiles/10744/rishabh-pant
18,Mohammed Shami,http://cricbuzz.com/profiles/7909/mohammed-shami
19,Jasprit Bumrah,http://cricbuzz.com/profiles/9311/jasprit-bumrah
20,Kuldeep Yadav,http://cricbuzz.com/profiles/8292/kuldeep-yadav
21,Yuzvendra Chahal,http://cricbuzz.com/profiles/7910/yuzvendra-chahal
22,Navdeep Saini,http://cricbuzz.com/profiles/9715/navdeep-saini
23,Shardul Thakur,http://cricbuzz.com/profiles/8683/shardul-thakur
24,Umesh Yadav,http://cricbuzz.com/profiles/1858/umesh-yadav
25,Mohammed Siraj,http://cricbuzz.com/profiles/10808/mohammed-siraj
